Date,High,Low,Open,Close,Volume,Adj Close
2019-01-01,283.54998779296875,279.79998779296875,282.20001220703125,282.70001220703125,2490548.0,250.73907470703125
2019-01-02,283.25,277.54998779296875,282.25,280.6000061035156,9934187.0,248.87646484375
2019-01-03,282.45001220703125,277.75,280.6000061035156,278.8500061035156,6114946.0,247.32432556152344
2019-01-04,282.95001220703125,279.1499938964844,279.1499938964844,280.95001220703125,7805148.0,249.18695068359375
2019-01-07,285.25,281.0,284.29998779296875,281.6499938964844,9757529.0,249.80780029296875
2019-01-08,285.5,281.3500061035156,282.0,284.25,7480522.0,252.1138153076172
2019-01-09,291.70001220703125,284.6000061035156,285.6000061035156,290.3999938964844,12182118.0,257.5685119628906
2019-01-10,293.70001220703125,288.8999938964844,290.75,289.6000061035156,10288580.0,256.8589782714844
2019-01-11,296.0,291.5,291.8999938964844,295.3500061035156,16773035.0,261.95892333984375
2019-01-14,294.79998779296875,290.0,294.5,294.29998779296875,6400147.0,261.0276184082031
2019-01-15,297.3999938964844,294.0,295.25,296.54998779296875,7213165.0,263.02325439453125
2019-01-16,296.54998779296875,291.70001220703125,296.0,294.04998779296875,7784035.0,260.8058776855469
2019-01-17,295.6000061035156,290.1499938964844,294.1000061035156,293.95001220703125,10601100.0,260.7171936035156
2019-01-18,295.1000061035156,290.6499938964844,293.25,291.45001220703125,10994807.0,258.49981689453125
2019-01-21,293.20001220703125,288.70001220703125,292.8500061035156,289.8999938964844,8203333.0,257.1250305175781
2019-01-22,291.0,285.1499938964844,289.8500061035156,289.75,10329563.0,256.9920349121094
2019-01-23,294.3999938964844,275.0,291.5,277.29998779296875,40188183.0,245.9495391845703
2019-01-24,283.3500061035156,277.8500061035156,279.29998779296875,278.8999938964844,28026449.0,247.36866760253906
2019-01-25,282.70001220703125,278.5,280.0,279.20001220703125,8897906.0,247.63479614257812
2019-01-28,279.45001220703125,274.20001220703125,278.8999938964844,274.75,8992136.0,243.68788146972656
2019-01-29,279.0,274.75,275.29998779296875,278.45001220703125,6998389.0,246.96957397460938
2019-01-30,280.20001220703125,274.20001220703125,280.1000061035156,275.5,10449713.0,244.3530731201172
2019-01-31,279.6000061035156,273.6000061035156,276.5,278.6499938964844,15346406.0,247.14691162109375
